Game ID,Home Team,Home Shots,Home Shots Used,Home CHAD,Away Team,Away Shots,Away Shots Used,Away CHAD
21500478,CHI,86,30,195.3912835,IND,97,33,234.704724
21500479,MIN,77,15,197.8607072,UTA,80,20,291.2339051
21500480,DAL,82,0,,GSW,81,0,
21500481,SAS,76,0,,PHX,81,0,
21500482,POR,87,69,233.5309462,DEN,87,50,211.1545943
21500483,SAC,74,73,424.1781162,PHI,94,91,430.5585366
21500484,IND,82,2,372.1577424,MIL,77,2,180.1297022
21500485,HOU,78,2,237.1409109,GSW,84,3,239.299986
21500486,DET,86,69,254.6547945,MIN,86,71,256.8820218
21500487,NOP,82,5,194.9732157,LAC,90,6,364.5931708
21500488,OKC,80,80,342.6378268,PHX,82,82,337.5970768
21500489,UTA,86,74,216.7477293,POR,78,53,238.61529
21500490,WAS,92,91,266.6734639,ORL,85,83,259.9450416
21500491,MIA,82,44,210.7558036,DAL,88,49,211.5423463
21500492,TOR,91,69,198.1137221,CHA,85,60,228.4063792
21500493,CHI,85,15,248.7437084,NYK,84,10,239.5968041
21500494,LAL,87,55,245.1897927,PHI,84,40,275.5002268
21500495,BOS,88,80,237.9508531,BKN,93,89,241.2156269
21500496,SAC,87,87,443.4634709,PHX,83,82,432.8145393
21500497,CHA,84,71,242.0977077,OKC,79,72,197.9179011
21500498,IND,73,1,627.7684631,DET,93,0,
21500499,CLE,82,0,,ORL,76,0,
21500500,MIN,84,5,277.106698,MIL,75,5,1078.737411
21500501,DAL,83,24,193.4093586,NOP,83,7,220.5476803
21500502,SAS,86,0,,HOU,74,0,
21500503,UTA,75,64,227.6477977,MEM,81,73,218.0709296
21500504,GSW,86,84,339.8588661,DEN,105,105,334.7508661
21500505,LAC,81,38,260.9619111,PHI,89,29,258.7991346
21500506,NYK,88,63,311.7560907,ATL,84,56,339.0131302
21500507,TOR,92,92,251.1588499,CHI,82,80,254.8193308
21500508,WAS,91,91,242.1523733,MIA,86,85,297.3513048
21500509,DEN,80,80,263.5422589,POR,78,78,255.5553499
21500510,LAL,84,23,234.9585332,PHX,89,14,295.0577133
21500511,CLE,74,0,,TOR,73,0,
21500512,PHI,87,69,274.3357326,MIN,73,65,243.5693278
21500513,BKN,85,25,199.2642616,BOS,92,18,274.5436783
21500514,DET,88,59,225.3866939,ORL,81,64,237.1806725
21500515,MIA,90,34,187.6806661,IND,94,28,250.373846
21500516,MIL,77,77,219.0129926,SAS,90,90,242.5661261
21500517,OKC,89,89,276.8021643,SAC,89,88,271.1539244
21500518,UTA,75,75,280.7408884,HOU,68,68,273.0012631
21500519,POR,72,72,266.0806667,MEM,91,91,244.7288955
